traffic_density,horn_events_per_min,avg_speed,signal_wait_time,weather_condition,road_quality_score,driver_experience_level,stress_index,Risk_Level,Insurance_Premium
112,12.93,28.61,56.58,Foggy,7.31,Intermediate,68.37,High,8000
61,7.43,54.22,35.64,Rainy,8.78,Beginner,47.14,Medium,5000
102,11.07,41.42,54.61,Clear,8.34,Intermediate,55.02,Medium,5000
24,1.54,69.86,16.09,Clear,6.29,Expert,22.71,Low,3000
116,11.6,33.01,62.51,Clear,8.19,Expert,49.91,Medium,5000
81,17.88,51.57,43.04,Foggy,7.01,Intermediate,54.71,Medium,5000
70,12.63,53.76,40.04,Clear,6.04,Beginner,62.68,Medium,5000
30,7.73,66.33,18.42,Foggy,3.38,Intermediate,45.5,Medium,5000
112,13.63,28.79,65.71,Rainy,7.61,Beginner,74.61,High,8000
92,13.6,47.34,48.67,Rainy,6.73,Beginner,66.97,High,8000
96,12.5,39.02,50.28,Clear,8.6,Intermediate,59.78,Medium,5000
84,5.96,43.72,46.97,Clear,10.0,Expert,37.02,Medium,5000
84,16.04,44.64,48.67,Rainy,5.39,Expert,47.63,Medium,5000
97,11.32,42.13,47.68,Clear,4.35,Intermediate,59.49,Medium,5000
109,11.09,25.97,57.64,Clear,4.77,Intermediate,62.21,Medium,5000
113,14.94,37.33,64.22,Foggy,7.79,Expert,50.12,Medium,5000
33,5.43,63.45,20.63,Clear,6.34,Intermediate,38.72,Medium,5000
12,3.98,69.98,9.2,Clear,7.29,Beginner,19.29,Low,3000
31,3.66,63.49,23.07,Foggy,6.65,Intermediate,25.4,Low,3000
62,6.33,63.08,40.82,Hot,8.82,Intermediate,43.38,Medium,5000
11,0.35,76.73,12.21,Clear,7.06,Beginner,26.59,Low,3000
97,15.55,42.34,58.7,Foggy,4.8,Intermediate,69.27,High,8000
117,17.23,39.42,64.53,Rainy,5.39,Beginner,77.27,High,8000
39,2.74,72.1,25.9,Hot,8.81,Intermediate,34.67,Low,3000
47,10.0,58.23,29.07,Clear,5.89,Intermediate,48.95,Medium,5000
11,3.55,73.13,13.65,Hot,8.23,Intermediate,20.89,Low,3000
73,9.42,54.56,39.4,Clear,7.18,Intermediate,43.8,Medium,5000
69,10.31,51.57,36.56,Clear,8.72,Beginner,49.27,Medium,5000
30,4.11,63.53,20.02,Clear,9.8,Beginner,32.38,Low,3000
42,10.41,72.82,26.62,Clear,5.53,Expert,33.55,Low,3000
85,9.12,49.08,45.51,Rainy,9.26,Intermediate,54.65,Medium,5000
67,6.71,49.95,35.53,Rainy,5.03,Beginner,49.18,Medium,5000
31,5.86,63.82,10.9,Clear,8.71,Beginner,24.38,Low,3000
117,13.57,37.59,59.26,Clear,6.08,Beginner,78.28,High,8000
98,11.95,34.82,58.91,Clear,2.69,Beginner,73.46,High,8000
58,9.64,60.87,33.26,Clear,10.0,Intermediate,40.05,Medium,5000
100,6.71,40.58,53.91,Clear,6.78,Beginner,62.67,Medium,5000
68,8.96,57.89,35.48,Clear,8.49,Intermediate,39.23,Medium,5000
51,10.73,61.56,33.99,Clear,6.5,Intermediate,34.86,Low,3000
101,7.55,33.13,56.72,Clear,8.73,Beginner,71.64,High,8000
69,10.48,57.1,41.64,Foggy,5.53,Intermediate,44.66,Medium,5000
89,10.71,48.85,46.33,Clear,6.07,Intermediate,51.2,Medium,5000
24,3.73,69.74,20.69,Clear,8.21,Beginner,25.88,Low,3000
71,8.16,54.24,39.92,Clear,6.79,Intermediate,35.38,Medium,5000
71,7.44,52.62,37.91,Clear,5.1,Beginner,64.23,Medium,5000
56,9.19,47.93,38.44,Rainy,7.87,Intermediate,37.43,Medium,5000
71,11.4,51.39,41.83,Hot,7.71,Intermediate,46.07,Medium,5000
60,10.52,61.69,37.35,Foggy,6.69,Beginner,42.19,Medium,5000
117,19.62,26.12,61.74,Rainy,5.71,Intermediate,66.0,High,8000
64,8.72,56.98,34.73,Clear,6.79,Intermediate,40.79,Medium,5000
73,6.68,55.76,41.69,Clear,8.65,Beginner,42.97,Medium,5000
12,3.23,69.75,16.57,Rainy,6.3,Beginner,24.01,Low,3000
110,15.81,33.14,63.64,Foggy,3.75,Beginner,87.67,High,8000
60,16.16,58.28,35.28,Foggy,6.63,Intermediate,48.44,Medium,5000
16,2.12,76.62,11.18,Clear,6.91,Intermediate,21.9,Low,3000
30,5.36,71.51,25.04,Clear,7.38,Intermediate,35.72,Medium,5000
82,10.9,46.31,46.68,Clear,7.33,Intermediate,68.33,High,8000
48,6.19,59.44,30.81,Clear,8.29,Intermediate,32.77,Low,3000
27,13.46,75.58,20.84,Foggy,6.76,Intermediate,23.97,Low,3000
13,2.84,68.16,11.7,Clear,6.68,Intermediate,26.05,Low,3000
98,9.55,37.29,51.69,Clear,7.51,Beginner,64.45,Medium,5000
69,14.51,50.63,41.58,Foggy,3.58,Expert,47.34,Medium,5000
23,5.78,71.38,16.49,Clear,6.15,Expert,30.82,Low,3000
18,3.98,71.27,8.6,Clear,6.18,Intermediate,26.38,Low,3000
99,10.77,42.17,56.34,Clear,6.58,Expert,59.07,Medium,5000
62,7.47,53.66,36.46,Clear,4.69,Intermediate,51.68,Medium,5000
11,3.28,76.69,8.51,Clear,7.22,Expert,19.73,Low,3000
93,12.52,46.36,53.93,Rainy,6.45,Intermediate,50.72,Medium,5000
101,15.82,36.77,56.32,Foggy,4.09,Intermediate,68.56,High,8000
69,8.34,52.02,34.68,Rainy,5.89,Intermediate,36.75,Medium,5000
80,6.34,53.52,45.53,Rainy,7.12,Intermediate,51.14,Medium,5000
53,8.17,57.08,38.54,Foggy,9.19,Intermediate,37.94,Medium,5000
17,2.38,77.5,13.16,Clear,10.0,Expert,18.13,Low,3000
